t,total_ins_0,"f(0, 0)","f(0, 1)","f(0, 2)","f(0, 3)","f(0, 4)",Soma(0)
2.8900000000,0.9028325307,0.0352378338,0.2141138622,0.3688914877,0.2845893470,0.0971674693,1.0000000000
2.9000000000,0.9028325275,0.0352378326,0.2141138593,0.3688914859,0.2845893497,0.0971674725,1.0000000000
2.9100000000,0.9028325245,0.0352378314,0.2141138565,0.3688914842,0.2845893523,0.0971674755,1.0000000000
2.9200000000,0.9028325217,0.0352378303,0.2141138539,0.3688914826,0.2845893548,0.0971674783,1.0000000000
2.9300000000,0.9028325189,0.0352378293,0.2141138514,0.3688914811,0.2845893572,0.0971674811,1.0000000000
2.9400000000,0.9028325163,0.0352378283,0.2141138490,0.3688914796,0.2845893594,0.0971674837,1.0000000000
2.9500000000,0.9028325138,0.0352378273,0.2141138467,0.3688914782,0.2845893616,0.0971674862,1.0000000000
2.9600000000,0.9028325114,0.0352378264,0.2141138445,0.3688914769,0.2845893637,0.0971674886,1.0000000000
2.9700000000,0.9028325091,0.0352378255,0.2141138424,0.3688914756,0.2845893657,0.0971674909,1.0000000000
2.9800000000,0.9028325069,0.0352378246,0.2141138404,0.3688914744,0.2845893676,0.0971674931,1.0000000000
2.9900000000,0.9028325048,0.0352378238,0.2141138384,0.3688914732,0.2845893694,0.0971674952,1.0000000000
3.0000000000,0.9028325028,0.0352378230,0.2141138366,0.3688914721,0.2845893711,0.0971674972,1.0000000000
3.0100000000,0.9028325009,0.0352378223,0.2141138348,0.3688914710,0.2845893728,0.0971674991,1.0000000000
3.0200000000,0.9028324991,0.0352378216,0.2141138332,0.3688914700,0.2845893744,0.0971675009,1.0000000000
3.0300000000,0.9028324973,0.0352378209,0.2141138316,0.3688914690,0.2845893759,0.0971675027,1.0000000000
3.0400000000,0.9028324957,0.0352378203,0.2141138300,0.3688914681,0.2845893773,0.0971675043,1.0000000000
3.0500000000,0.9028324941,0.0352378196,0.2141138286,0.3688914672,0.2845893787,0.0971675059,1.0000000000
3.0600000000,0.9028324925,0.0352378190,0.2141138272,0.3688914663,0.2845893800,0.0971675075,1.0000000000
